Message,ID,ID Decimal,Periodic Interval,Update Time,Event Trigger,Signal,Start Byte,Start Bit,Length,Data Type,Range,Min,Max,Unit,Conversion,Scale,Offset,Transmitter
,,,,,,Powertrain Exhaust Particle Filter Warning Indication On,6,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Powertrain High Electrical Load Requested,6,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Fuel Filter Change Now Indication On,6,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Diagnostic Trouble Code Present Indication On,6,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,,6,1,1,,,,,,,,,
,,,,,,,6,0,1,,,,,,,,,
,,,,,,Engine Speed Maximum Limit,7,7,8,Unsigned Numeric,0 to 8160,0,8160,RPM,E = N * 32,32,,
,,,,,,,,,,,,,,,,,,
PPEI Fuel System General Status,$4D9,1241,500,,,,,,,,,,,,,,,FSCM
,,,,,,Fuel System Emissions Related Malfunction Active,0,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,,0,6,7,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fuel System Emissions Related DTC,1,7,16,Packet,N/A,,,,N/A,,,
,,,,,,Fuel System Emissions Related DTC System Designator,1,7,12,Enumeration,N/A,,,,"$0 = P0-Powertrain Codes SAE Controlled
$1 = P1-Powertrain Codes MFG Controlled
$2 = P2-Powertrain Codes Reserved
$3 = P3-Powertrain Codes Reserved
$4 = C0-Chassis Codes SAE Controlled
$5 = C1-Chassis Codes MFG Controlled
$6 = C2-Chassis Codes Reserved
$7 = C3-Chassis Codes Reserved
$8 = B0-Body Codes SAE Controlled
$9 = B1-Body Codes MFG Controlled
$A = B2-Body Codes Reserved
$B = B3-Body Codes Reserved
$C = U0-Network Codes SAE Controlled
$D = U1-Network Codes MFG Controlled
$E = U2- Network Codes Reserved
$F = U3-Network Codes Reserved",,,
,,,,,,Fuel System Emissions Related DTC Code Number,2,3,4,Unsigned Numeric,0 to 4095,0,4095,,E = N * 1,1,,
,,,,,,,,,,,,,,,,,,
PPEI VIN Digits 10 To 17,$4E1,1249,1000,,,,,,,,,,,,,,,GW
,,,,,,Vehicle Identification Number Digits 10 To 17,0,7,64,ASCII Chars,N/A,,,,Eight ASCII Characters,,,
,,,,,,,,,,,,,,,,,,
PPEI Platform Configuration Data,$4E9,1257,1000,,,,,,,,,,,,,,,GW
,,,,,,Antilock Brake System Present,0,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Traction Control System Present,0,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Vehicle Stability Enhancement System Present,0,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Elapsed Time Count Reset Occurred,0,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,,0,3,1,,,,,,,,,
,,,,,,Vehicle Speed Control System Type,0,2,3,Enumeration,N/A,,,,"$0 = No Vehicle Speed Control
$1 = Conventional Cruise Control
$2 = Adaptive Cruise Control",,,
,,,,,,Air Conditioning Compressor Type,1,7,3,Enumeration,N/A,,,,"$0 = None
$1 = Fixed Displacement Clutched
$2 = Variable Displacement Mechanical
$3 = Variable Displacement Electronic
$4 = Electric Motor Driven
$5 = Reserved
$6 = Reserved
$7 = Reserved",,,
,,,,,,,1,4,1,,,,,,,,,
,,,,,,,1,3,1,,,,,,,,,
,,,,,,Platform Engine Speed Command System Type,1,2,3,Enumeration,N/A,,,,"$0 = No Platform Engine Speed Command System Type
$1 = Stationary PTO
$2 = Stationary Variable PTO
$3 = Mobile Variable PTO
$4 = Fast Idle
$5 = Enhanced Fast Idle",,,
,,,,,,Elapsed Time Count,2,7,24,Unsigned Numeric,0 to 16777215,0,16777215,min,E = N * 1,1,,
,,,,,,Engine Performance Identifier,5,7,8,Unsigned Numeric,0 to 510,0,510,kW,E = N * 2,2,,
,,,,,,,,,,,,,,,,,,
PPEI Powertrain Configuration Data,$4F1,1265,1000,,,,,,,,,,,,,,,ECM
,,,,,,,0,7,1,,,,,,,,,
,,,,,,,0,6,1,,,,,,,,,
,,,,,,,0,5,1,,,,,,,,,
,,,,,,,0,4,1,,,,,,,,,
,,,,,,,0,3,1,,,,,,,,,
,,,,,,,0,2,1,,,,,,,,,
,,,,,,Wheel Distance Per Revolution Driven,0,1,10,Unsigned Numeric,800 to 3869,800,3869,mm,E = (N * 3) + 800,3,800,
,,,,,,,2,7,1,,,,,,,,,
,,,,,,,2,6,1,,,,,,,,,
,,,,,,,2,5,1,,,,,,,,,
,,,,,,,2,4,1,,,,,,,,,
,,,,,,,2,3,1,,,,,,,,,
,,,,,,,2,2,1,,,,,,,,,
,,,,,,Wheel Distance Per Revolution Non Driven,2,1,10,Unsigned Numeric,800 to 3869,800,3869,mm,E = (N * 3) + 800,3,800,
,,,,,,,4,7,1,,,,,,,,,
,,,,,,,4,6,1,,,,,,,,,
,,,,,,,4,5,1,,,,,,,,,
,,,,,,,4,4,1,,,,,,,,,
,,,,,,,4,3,1,,,,,,,,,
,,,,,,,4,2,1,,,,,,,,,
,,,,,,,4,1,1,,,,,,,,,
,,,,,,Driveline Final Axle Ratio,4,0,9,Unsigned Numeric,2.0 to 7.11,2.0,7.11,,E = (N * 0.01) + 2,1/100,2,
,,,,,,,,,,,,,,,,,,
PPEI Powertrain Configuration Data 2,$4F3,1267,1000,,,,,,,,,,,,,,,ECM
,,,,,,Vehicle Mass Nominal,0,7,8,Unsigned Numeric,500 to 5620,500,5620,kg,E = (N * 20) + 500,20,500,
,,,,,,,,,,,,,,,,,,
PPEI VIN Digits 2 To 9,$514,1300,,,,,,,,,,,,,,,,
,,,,,,Vehicle Identification Number Digits 2 To 9,0,7,64,,,,,,,,,
,,,,,,,,,,,,,,,,,,
PPEI Diagnostic Trouble Code Information Extended 1,$772,1906,1000,,,,,,,,,,,,,,,ECM
,,,,,,Diagnostic Trouble Code Information Extended,0,7,56,Packet,N/A,,,,N/A,,,
,,,,,,Unused1,0,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused2,0,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused3,0,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused4,0,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused5,0,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused6,0,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused7,0,1,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Diagnostic Trouble Code Triggered,0,0,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Diagnostic Trouble Code Source,1,7,8,Unsigned Numeric,0 to 255,0,255,,E = N * 1,1,,
,,,,,,Diagnostic Trouble Code Number,2,7,16,Unsigned Numeric,0 to 65535,0,65535,,E = N * 1,1,,
,,,,,,Diagnostic Trouble Code Failure Type,4,7,8,Unsigned Numeric,0 to 255,0,255,,E = N * 1,1,,
,,,,,,Warning Indicator Requested Status,5,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Failed Since Power Up Status,5,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Not Passed Since Power Up Status,5,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,History Status,5,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Failed Since Code Cleared Status,5,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Not Passed Since Code Cleared Status,5,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Current Status,5,1,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Code Supported,5,0,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Diagnostic Trouble Code Fault Type,6,7,8,Enumeration,,,,,"$00 = Not Supported
$01 = Type A
$02 = Type B
$03 = Type C
$04 to $FF = reserved",,,
,,,,,,,,,,,,,,,,,,
PPEI Diagnostic Trouble Code Information Extended 2,$77A,1914,1000,,,,,,,,,,,,,,,TCCM
,,,,,,Diagnostic Trouble Code Information Extended,0,7,56,Packet,N/A,,,,N/A,,,
,,,,,,Unused1,0,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused2,0,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused3,0,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused4,0,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused5,0,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused6,0,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused7,0,1,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Diagnostic Trouble Code Triggered,0,0,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Diagnostic Trouble Code Source,1,7,8,Unsigned Numeric,0 to 255,0,255,,E = N * 1,1,,
,,,,,,Diagnostic Trouble Code Number,2,7,16,Unsigned Numeric,0 to 65535,0,65535,,E = N * 1,1,,
,,,,,,Diagnostic Trouble Code Failure Type,4,7,8,Unsigned Numeric,0 to 255,0,255,,E = N * 1,1,,
,,,,,,Warning Indicator Requested Status,5,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Failed Since Power Up Status,5,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Not Passed Since Power Up Status,5,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,History Status,5,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Failed Since Code Cleared Status,5,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Not Passed Since Code Cleared Status,5,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Current Status,5,1,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Code Supported,5,0,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Diagnostic Trouble Code Fault Type,6,7,8,Enumeration,,,,,"$00 = Not Supported
$01 = Type A
$02 = Type B
$03 = Type C
$04 to $FF = reserved",,,
,,,,,,,,,,,,,,,,,,
PPEI Diagnostic Trouble Code Information Extended 3,$77F,1919,1000,,,,,,,,,,,,,,,TCM
,,,,,,Diagnostic Trouble Code Information Extended,0,7,56,Packet,N/A,,,,N/A,,,
,,,,,,Unused1,0,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused2,0,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused3,0,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused4,0,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused5,0,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused6,0,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused7,0,1,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Diagnostic Trouble Code Triggered,0,0,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Diagnostic Trouble Code Source,1,7,8,Unsigned Numeric,0 to 255,0,255,,E = N * 1,1,,
,,,,,,Diagnostic Trouble Code Number,2,7,16,Unsigned Numeric,0 to 65535,0,65535,,E = N * 1,1,,
,,,,,,Diagnostic Trouble Code Failure Type,4,7,8,Unsigned Numeric,0 to 255,0,255,,E = N * 1,1,,
,,,,,,Warning Indicator Requested Status,5,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Failed Since Power Up Status,5,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Not Passed Since Power Up Status,5,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,History Status,5,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Not Passed Since Code Cleared Status,5,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Current Status,5,1,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Code Supported,5,0,1,Boolean,,,,,"$0 = False;
$1 = True",,,
,,,,,,Diagnostic Trouble Code Fault Type,6,7,8,Enumeration,,,,,"$00 = Not Supported
$01 = Type A
$02 = Type B
$03 = Type C
$04 to $FF = Reserved",,,
,,,,,,,,,,,,,,,,,,
PPEI Power Pack General Status,$3F3,1011,500,,,,,,,,,,,,,,,BPIM
,,,,,,Power Pack Fan Afterrun Time,0,0,9,Unsigned Numeric,0 to 511,0,511,s,E = N * 1,1,,
,,,,,,,,,,,,,,,,,,
PPEI Hybrid Temperature Status,$3F7,1015,200,,,,,,,,,,,,,,,VITM
,,,,,,High Voltage Battery Temperature Sensor 6 Validity,0,5,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,High Voltage Battery Temperature Sensor 5 Validity,0,4,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,High Voltage Battery Temperature Sensor 4 Validity,0,3,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,High Voltage Battery Temperature Sensor 3 Validity,0,2,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,High Voltage Battery Temperature Sensor 2 Validity,0,1,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,High Voltage Battery Temperature Sensor 1 Validity,0,0,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,High Voltage Battery Temperature Sensor 1,1,7,8,Unsigned Numeric,-40 to 215,-40,215,C,E = (N * 1) - 40,1,-40,
,,,,,,High Voltage Battery Temperature Sensor 2,2,7,8,Unsigned Numeric,-40 to 215,-40,215,C,E = (N * 1) - 40,1,-40,
,,,,,,High Voltage Battery Temperature Sensor 3,3,7,8,Unsigned Numeric,-40 to 215,-40,215,C,E = (N * 1) - 40,1,-40,
,,,,,,High Voltage Battery Temperature Sensor 4,4,7,8,Unsigned Numeric,-40 to 215,-40,215,C,E = (N * 1) - 40,1,-40,
,,,,,,High Voltage Battery Temperature Sensor 5,5,7,8,Unsigned Numeric,-40 to 215,-40,215,C,E = (N * 1) - 40,1,-40,
,,,,,,High Voltage Battery Temperature Sensor 6,6,7,8,Unsigned Numeric,-40 to 215,-40,215,C,E = (N * 1) - 40,1,-40,
,,,,,,,,,,,,,,,,,,
PPEI Hybrid Balancing Request,$1D9,473,25,,,,,,,,,,,,,,,BPIM
,,,,,,High Voltage Battery Balancing Request Matrix,0,7,48,Packet,N/A,,,,N/A,,,
,,,,,,Cell Index,0,7,4,Enumeration,N/A,,,,"$0 = do not use data
$1 = cell index 1 to 40
$2 = cell index 41 to 80
$3 = cell index 81 to 120
$4 = cell index 121 to 160
$5 = cell index 160 to 200
$6 to $F = reserved for future use",,,
,,,,,,Cell Open Circuit Voltage Request,0,3,1,Boolean,N/A,,,,"$0 = Open Circuit
Voltage
$1 = Under Load",,,
,,,,,,Reserved,0,2,3,N/A,N/A,,,,N/A,,,
,,,,,,Cell Balancing SubID 1,1,7,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 2,1,6,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 3,1,5,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 4,1,4,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 5,1,3,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 6,1,2,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 7,1,1,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 8,1,0,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 10,2,6,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 11,2,5,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 12,2,4,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 13,2,3,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 14,2,2,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 15,2,1,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 16,2,0,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 17,3,7,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 18,3,6,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 19,3,5,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 20,3,4,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 21,3,3,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 22,3,2,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 23,3,1,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 24,3,0,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 25,4,7,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 26,4,6,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 27,4,5,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 28,4,4,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 29,4,3,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 30,4,2,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 31,4,1,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 32,4,0,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 33,5,7,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 34,5,6,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 35,5,5,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 36,5,4,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 37,5,3,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 38,5,2,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 39,5,1,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,Cell Balancing SubID 40,5,0,1,Enumeration,N/A,,,,"$0 = Off;
$1 = On",,,
,,,,,,,,,,,,,,,,,,
PPEI Hybrid Battery General Status,$1DE,478,25,,,,,,,,,,,,,,,VITM
,,,,,,High Voltage Battery Side Voltage Validity,0,0,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,High Voltage Battery Current Extended Range Validity,1,1,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,High Voltage Battery Current Extended Range,1,0,17,Signed Numeric,-655.36 to 655.32,-655.36,655.32,A,E = N * 0.01,1/100,,
,,,,,,High Voltage Battery Side Voltage,4,7,16,Unsigned Numeric,0.0 to 655.35,0.0,655.35,V,E = N * 0.01,1/100,,
,,,,,,,,,,,,,,,,,,
PTEI Engine General Status,$1A1,417,25,,,,,,,,,,,,,,,
,,,,,,Engine Diagnostic Torque Converter Clutch Unlock Requested,0,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Cylinder Deactivation Torque Smoothing Active,0,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,,,,,,,,,,,,,
,,,,,,Engine Transmission Gear Request,0,5,6,Packet,N/A,,,,N/A,,,
,,,,,,Request Type,0,5,2,Enumeration,N/A,,,,"$0 = No Action
$1 = Max Gear Request
$2 = Min Gear Request
$3 = Hold Gear",,,
,,,,,,Requested Gear,0,3,4,Enumeration,N/A,,,,"$0 = No Action
$1 = First Gear
$2 = Second Gear
$3 = Third Gear
$4 = Fourth Gear
$5 = Fifth Gear
$6 = Sixth Gear
$7 = Seventh Gear
$8 = Eighth Gear",,,
,,,,,,Engine Brake Status,1,7,2,Enumeration,N/A,,,,"$0 = Inactive
$1 = Active Not Absorbing Torque
$2 = Active Absorbing Torque",,,
,,,,,,Air Conditioning Compressor Clutch Engaged,1,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Traction Control System Powertrain Inhibit,1,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Metal Protection Active,1,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Cylinder Deactivation Requested,1,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Cylinder Deactivation Mode,1,1,2,Enumeration,N/A,,,,"$0 = All Cylinders Active
$1 = Deactivation In Progress
$2 = Half of Total Cylinders Active
$3 = Reactivation In Progress",,,
,,,,,,Engine Cold High Idle Active,2,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Park Neutral Switch Status,2,6,1,Enumeration,N/A,,,,"$0 = Park/Neutral
$1 = Not Park/Neutral",,,
,,,,,,Park Neutral Switch Status Validity,2,5,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Diesel Particulate Filter Idle Regeneration Mode Request,2,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Diesel Particle Filter Cleaning Algorithm Active,2,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Diesel Particle Filter Cleaning Algorithm Active Mask,2,2,1,Enumeration,N/A,,,,"$0 = Do Not Use Data
$1 = Use Data",,,
,,,,,,Accelerator Pedal Position Percent Full Range Validity,2,1,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Engine Controller Run Crank Terminal Status,2,0,1,Enumeration,N/A,,,,"$0 = Inactive;
$1 = Active",,,
,,,,,,Engine Post Oxygen Sensor Diagnostic Assistance Requested,3,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Cruise Control Mode,3,5,3,Enumeration,N/A,,,,"$0 = Inactive
$1 = Engaged
$2 = Resume
$3 = Accel
$4 = Coast
$5 = Tap",,,
,,,,,,Cruise Control Constant Speed Active,3,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Warm Up Shift Pattern Request,3,1,1,Enumeration,N/A,,,,"$0 = Inactive;
$1 = Active",,,
,,,,,,Engine Allowed Clutch Adaptation,3,0,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Idle Speed Reduced Range,4,7,8,Unsigned Numeric,0 to 2040,0,2040,RPM,E = N * 8,8,,
,,,,,,Base Target Engine Idle Speed,5,7,8,Unsigned Numeric,0 to 2040,0,2040,RPM,E = N * 8,8,,
,,,,,,Accelerator Pedal Position Percent Full Range,6,7,8,Unsigned Numeric,0 to 100,0,100,%,E = N * 100/255,100/255,,